ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BBRC3,RAPID,RUNNING,R02VGB403,2200,008Y6VG008,ABU008Y62011A,22-01-14 21:10,22-01-14 14:08,ISSI-VG,DFN-08Y62D,8320,01/15/2022 AP,1091A07C41,,R02VGB439,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,1184.7633,2022-01-14 21:10:11
BBRC4,RAPID,IDLE,,,,AAB008YQ2039B,,22-01-14 10:42,,,,01/16/2022 AP,,,R03ABA102,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,
BBRC5,RAPID,IDLE,,,,AAW008Y62014A,,22-01-13 06:30,,,,01/17/2022 AP,,,R02AWHI32,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1343.9948,
BBRC6,RAPID,IDLE,,,,AHQ0442J3003A,,22-01-14 11:33,,,,01/18/2022 AP,,,R02HQAC16,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,328.6546,
BBRC7,RAPID,IDLE,,,,AHQ0442J3005A,,22-01-13 01:43,,,,01/19/2022 AP,,,R02HQAF14,FPSTLGA44YBV,EMC,AHQ0442J3005A,1091A06C41,328.6546,
BBRC8,RAPID,RUNNING,R03ABAY06,2200,008YMAB068,AAB008YM2018A,22-01-14 17:26,22-01-14 07:18,WINBOND,DFN-08YM2D,16000,01/20/2022 AP,1091A07T21,,R02NVAB35,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,1578.9041,2022-01-14 17:26:06
BBRC9,RAPID,IDLE,,,,AHQ0442J3003A,,22-01-14 14:51,,,,01/21/2022 AP,,,R02HQAD01,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,328.6546,
BBRD1,RAPID,IDLE,,,,ANV132X2C034A,,22-01-10 17:05,,,,01/21/2022 AP,,,R02NVAA31,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRD2,RAPID,RUNNING,R03ABAZ01,2200,008YMAB068,AAB008YM2018A,22-01-15 00:43,22-01-14 14:35,WINBOND,DFN-08YM2D,16000,01/23/2022 AP,,,R03ABAY10,DFN-08YM2D,WINBOND,AAB008YM2018A,1091A07T21,1578.9041,2022-01-15 00:43:57
BBRD3,RAPID,IDLE,,,,AAB008YQ2039B,,22-01-14 12:28,,,,01/24/2022 AP,,,R03ABA103,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,
