pkg_type,process_id,version,detail_id,remark,
	T,	252X0003       ,	 C,	S32000102,	A0803CB1176(KNS)                        ,
	T,	0415L018       ,	 A,	S22000102,	A0803CB1253(KNS)                        ,
	T,	0442J027       ,	 B,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J027       ,	 B,	S32000102,	A0803CB1181(KNS)                        ,
	T,	0442J030       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J030       ,	 A,	S32000102,	A0803CB1294(KNS)                        ,
	T,	0345V009       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0345V009       ,	 B,	S32000102,	A0803CB1294(KNS)                        ,
	T,	0225N012       ,	 A,	S22000102,	A0803CB1267(KNS)                        ,
	T,	0282J104       ,	 C,	S22000102,	A0803CB0991(KNS)                        ,
	T,	0225N013       ,	 C,	S22000102,	A0803CB1267(KNS)                        ,
	T,	078U9031       ,	 I,	S22000102,	A0801CB0823 (UTC)                       ,
	T,	078U9031       ,	 I,	S22000102,	A0803CB0823 (KNS)                       ,
	T,	078U9030       ,	 F,	S22000102,	A0801CB0823 (UTC)                       ,
	T,	078U9030       ,	 F,	S22000102,	A0803CB0823 (KNS)                       ,
	T,	078EP001       ,	 F,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP001       ,	 F,	S22000102,	A0803CB1264(KNS)                        ,
	T,	096EC009       ,	 Q,	S22000102,	A0801CB0824 (UTC)                       ,
	T,	096EC009       ,	 Q,	S22000102,	A0803CB0824 (KNS)                       ,
	T,	078EN015       ,	 E,	S22000102,	A0801CB1338(UTC)                        ,
	T,	078EN015       ,	 E,	S22000102,	A0803CB1338(KNS)                        ,
	T,	096EC018       ,	 J,	S22000102,	A0801CB0824(UTC)                        ,
	T,	096EC018       ,	 J,	S22000102,	A0803CB0824(KNS)                        ,
	T,	078U9034       ,	 G,	S22000102,	A0801CB0823(UTC)                        ,
	T,	078U9034       ,	 G,	S22000102,	A0803CB0823(KNS)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0803CB1264(KNS)                        ,
	T,	078U9018       ,	 K,	S22000102,	A0801CB0643 (UTC)                       ,
	T,	078U9018       ,	 K,	S22000102,	A0803CB0643 (KNS)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0801CB0644 (UTC)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0803CB0644 (KNS)                       ,
	T,	132X2292       ,	 E,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2292       ,	 E,	S22000102,	A0803CB1295(KNS)                        ,
	T,	153XT167       ,	 C,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT167       ,	 C,	S22000102,	A0803CB1294(KNS)                        ,
	T,	132X2297       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2297       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	048TR055       ,	 G,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR055       ,	 G,	S22000102,	A0803CB1192(KNS)                        ,
	T,	345XT059       ,	 B,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT059       ,	 B,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT059       ,	 B,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT059       ,	 B,	S32000102,	A0803CB1323(KNS)                        ,
	T,	345XT059       ,	 B,	S34000102,	A0801CB1285(UTC)                        ,
	T,	345XT059       ,	 B,	S34000102,	A0803CB1323(KNS)                        ,
	T,	036RP001       ,	 F,	S22000102,	A0801CB1314(UTC)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0801CB0655(UTC)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0803CB0655(KNS)                        ,
	T,	078EP009       ,	 A,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP009       ,	 A,	S22000102,	A0803CB1264(KNS)                        ,
	T,	008YD056       ,	 K,	S22000102,	A0803CB1038                             ,
	T,	054TS014       ,	 N,	S22000102,	A0801CB0929                             ,
	T,	024MA259       ,	 A,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA259       ,	 A,	S22000102,	A0803CB1057(KNS)                        ,
	T,	024XJ074       ,	 D,	S22000102,	A0801CB1129 (UTC)                       ,
