,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
574,574,AAS063NW3012A,ABU008Y62005A,6708.005474,BB930,"CWN,SC",R11ASBZ06,R11VGAG03,BB930_9,6588.005474,2022-03-18 21:53:00,2022-03-18 23:53:00,7069.64,2022-03-18 21:53:00,2022-03-18 23:53:00
575,575,ABU008Y62005A,AAB008YB2007A,6998.027882,BB930,"CWN,SC",R11VGAG03,R11ABA915,BB930_10,6878.027882,2022-03-19 02:43:01,2022-03-19 04:43:01,7068.5,2022-03-19 02:43:01,2022-03-19 04:43:01
576,576,AHQ0415L1003B,AAB008YM2018A,120.0,BBA01,"CWN,SC",,R11ABCG13,BBA01_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.22,2022-03-14 08:05:00,2022-03-14 10:05:00
577,577,AAB008YM2018A,AHQ0225N1001B,1808.678106,BBA01,"CWN,SC",R11ABCF04,R11HQA903,BBA01_3,1688.678106,2022-03-15 12:13:40,2022-03-15 14:13:40,7065.09,2022-03-15 12:13:40,2022-03-15 14:13:40
578,578,AHQ0415L1003B,ABW036AB1004A,120.0,BBA03,"CWN,SC",,R11BWAH19,BBA03_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.26,2022-03-14 08:05:00,2022-03-14 10:05:00
579,579,ABW036AB1004A,ABU153XT9002A,1594.662099,BBA03,"CWN,SC",R11BWAH18,R09VGEB02,BBA03_3,1474.662099,2022-03-15 08:39:39,2022-03-15 10:39:39,7082.67,2022-03-15 08:39:39,2022-03-15 10:39:39
580,580,ABU153XT9002A,AAW162KE1002A,2960.03536,BBA03,"CWN,SC",R09VGEB02,R11AWBY01,BBA03_4,2840.03536,2022-03-16 07:25:02,2022-03-16 09:25:02,7177.0,2022-03-16 07:25:02,2022-03-16 09:25:02
581,581,AAW162KE1002A,AAB008YM2018A,4038.865711,BBA03,"CWN,SC",R11AWBY01,R11ABCG07,BBA03_5,3918.865711,2022-03-17 01:23:51,2022-03-17 03:23:51,7065.22,2022-03-17 01:23:51,2022-03-17 03:23:51
582,582,AAB008YM2018A,ABU153XT9001A,4943.204764,BBA03,"CWN,SC",R11ABCG07,R09VGEH12,BBA03_6,4823.204764,2022-03-17 16:28:12,2022-03-17 18:28:12,7067.01,2022-03-17 16:28:12,2022-03-17 18:28:12
583,583,ANV0086B1006A,ABU153XT9002A,84.0,BBA05,MC,R10NVK120,R09VGEB01,BBA05_1,0.0,2022-03-14 08:05:00,2022-03-14 09:29:00,7153.0,2022-03-14 08:05:00,2022-03-14 09:29:00
584,584,ANV0086A1105A,ABU153XT9001A,120.0,BBA11,"CWN,SC",,R09VGEH16,BBA11_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7067.01,2022-03-14 08:05:00,2022-03-14 10:05:00
585,585,ABU153XT9001A,ABU153XT9002A,3370.377765,BBA11,SC,R09VGEH17,R09VGEB05,BBA11_4,3280.377765,2022-03-16 14:45:22,2022-03-16 16:15:22,7082.67,2022-03-16 14:45:22,2022-03-16 16:15:22
586,586,ABU153XT9002A,AHQ0225N1001B,4537.671353,BBA11,"CWN,SC",R09VGEB05,R11HQA704,BBA11_5,4417.671353,2022-03-17 09:42:40,2022-03-17 11:42:40,7065.09,2022-03-17 09:42:40,2022-03-17 11:42:40
587,587,ANV0086B1006A,AHQ0225S1002A,84.0,BBA16,MC,R10NVK132,R11HQAD01,BBA16_1,0.0,2022-03-14 08:05:00,2022-03-14 09:29:00,7065.09,2022-03-14 08:05:00,2022-03-14 09:29:00
588,588,AHQ0442J3003A,AHQ0225N1001B,1136.202955,BBA28,"CWN,SC",R10HQB416,R11HQA904,BBA28_2,1016.202955,2022-03-15 01:01:12,2022-03-15 03:01:12,7065.09,2022-03-15 01:01:12,2022-03-15 03:01:12
589,589,ANI020YU1002B,AHQ0225N1001B,936.0,BBA29,MC,R10NIKU01,R11HQA802,BBA29_1,852.0,2022-03-14 22:17:00,2022-03-14 23:41:00,7065.09,2022-03-14 22:17:00,2022-03-14 23:41:00
590,590,ABU153XT9001A,AAW162KE1002A,2115.308497,BBA30,"CWN,SC",R09VGEH05,R11AWBY02,BBA30_2,1995.308497,2022-03-15 17:20:18,2022-03-15 19:20:18,7068.32,2022-03-15 17:20:18,2022-03-15 19:20:18
591,591,AAW048TP1024D,AMS096EC1002A,326.0,BBB01,"CWN,SC",R11AWBS20,R11MSP303,BBB01_1,206.0,2022-03-14 11:31:00,2022-03-14 13:31:00,,2022-03-14 11:31:00,2022-03-14 13:31:00
592,592,AMS096EC1002A,AAW048TP1008B,1699.107043,BBB01,"CWN,SC",R11MSP303,R11AWAN06,BBB01_2,1579.107043,2022-03-15 10:24:06,2022-03-15 12:24:06,7066.01,2022-03-15 10:24:06,2022-03-15 12:24:06
593,593,AAB162KE1006A,AAW048TP1008B,1967.601887,BBB02,"CWN,SC",R11ABBZ07,R11AWAA18,BBB02_5,1847.601887,2022-03-15 14:52:36,2022-03-15 16:52:36,7066.56,2022-03-15 14:52:36,2022-03-15 16:52:36
594,594,AAW048TP1008B,AAW048TP1041B,5968.585485,BBB02,MC,R11AWAD21,R10AWEF08,BBB02_10,5884.585485,2022-03-18 10:09:35,2022-03-18 11:33:35,7067.01,2022-03-18 10:09:35,2022-03-18 11:33:35
595,595,ANV345XTB007A,AMS096EC1002A,120.0,BBB03,"CWN,SC",,R11MSP603,BBB03_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,,2022-03-14 08:05:00,2022-03-14 10:05:00
596,596,AMS096EC1002A,AAW048TP1041B,1586.107043,BBB03,"CWN,SC",R11MSP603,R10AWEE32,BBB03_2,1466.107043,2022-03-15 08:31:06,2022-03-15 10:31:06,7067.01,2022-03-15 08:31:06,2022-03-15 10:31:06
597,597,AAW048TP1041B,AMS096EC1002A,3146.496617,BBB03,"CWN,SC",R10AWEF27,R11MSP502,BBB03_4,3026.496617,2022-03-16 10:31:29,2022-03-16 12:31:29,7065.72,2022-03-16 10:31:29,2022-03-16 12:31:29
598,598,AMS096EC1002A,ASS153XT3001A,5772.710702,BBB03,"CWN,SC",R11MSP304,R10SSC318,BBB03_6,5652.710702,2022-03-18 06:17:42,2022-03-18 08:17:42,7065.35,2022-03-18 06:17:42,2022-03-18 08:17:42
599,599,ASS153XT3001A,AAW048TP1041B,10607.626952,BBB03,"CWN,SC",R10SSC332,R10AWEE27,BBB03_10,10487.626952,2022-03-21 14:52:37,2022-03-21 16:52:37,7067.01,2022-03-21 14:52:37,2022-03-21 16:52:37
600,600,AAB162KE1006A,AAW016D53004A,661.642628,BBB04,"CWN,SC",R11ABEF07,R10AWDU08,BBB04_2,541.642628,2022-03-14 17:06:38,2022-03-14 19:06:38,7066.21,2022-03-14 17:06:38,2022-03-14 19:06:38
601,601,AAW016D53004A,AAW048TP1041B,1696.832467,BBB04,"CWN,SC",R10AWDU08,R10AWEE28,BBB04_3,1576.832467,2022-03-15 10:21:49,2022-03-15 12:21:49,7067.01,2022-03-15 10:21:49,2022-03-15 12:21:49
602,602,AAB066TN1001A,AAW048TP1008B,1845.64424,BBB05,"CWN,SC",R10ABH916,R11AWAL01,BBB05_3,1725.64424,2022-03-15 12:50:38,2022-03-15 14:50:38,7065.99,2022-03-15 12:50:38,2022-03-15 14:50:38
603,603,AAB054TN1004A,AMS078EN1001A,1288.814181,BBB06,"CWN,SC",R10ABHH06,R11MSM404,BBB06_2,1168.814181,2022-03-15 03:33:48,2022-03-15 05:33:48,7065.34,2022-03-15 03:33:48,2022-03-15 05:33:48
604,604,AAW048TP1024D,ASS153XT3001A,84.0,BBB07,MC,,R10SSC317,BBB07_1,0.0,2022-03-14 08:05:00,2022-03-14 09:29:00,7065.35,2022-03-14 08:05:00,2022-03-14 09:29:00
605,605,ASS153XT3001A,AMS078EN1001A,3070.250366,BBB07,"CWN,SC",R10SSC316,R11MSM805,BBB07_3,2950.250366,2022-03-16 09:15:15,2022-03-16 11:15:15,7065.34,2022-03-16 09:15:15,2022-03-16 11:15:15
606,606,AMS078EN1001A,ASS153XT3001A,5339.569111,BBB07,"CWN,SC",R11MSMA02,R10SSC322,BBB07_5,5219.569111,2022-03-17 23:04:34,2022-03-18 01:04:34,7065.35,2022-03-17 23:04:34,2022-03-18 01:04:34
607,607,AAB066TN1001A,AAW048TP1041B,1911.365483,BBB09,"CWN,SC",R10ABH936,R10AWEF17,BBB09_3,1791.365483,2022-03-15 13:56:21,2022-03-15 15:56:21,7067.01,2022-03-15 13:56:21,2022-03-15 15:56:21
608,608,AAW048TP1041B,AAW016D53004A,3471.755057,BBB09,"CWN,SC",R10AWEF42,R10AWCI18,BBB09_5,3351.755057,2022-03-16 15:56:45,2022-03-16 17:56:45,7066.1900000000005,2022-03-16 15:56:45,2022-03-16 17:56:45
609,609,AAB054TN1005A,AAW048TP1008B,2602.442542,BBB10,"CWN,SC",R10ABHP19,R11AWAN03,BBB10_4,2482.442542,2022-03-16 01:27:26,2022-03-16 03:27:26,7066.01,2022-03-16 01:27:26,2022-03-16 03:27:26
610,610,AAB054TN1005A,AAW048TP1008B,2618.425763,BBB11,"CWN,SC",R10ABHP20,R11AWAA44,BBB11_5,2498.425763,2022-03-16 01:43:25,2022-03-16 03:43:25,7065.99,2022-03-16 01:43:25,2022-03-16 03:43:25
611,611,AAW048TP1008B,AAW048TP1041B,8485.416824,BBB11,MC,R11AWA517,R10AWEC45,BBB11_13,8401.416824,2022-03-20 04:06:25,2022-03-20 05:30:25,7067.01,2022-03-20 04:06:25,2022-03-20 05:30:25
612,612,AAW048TP1041B,AAW016D53004A,11486.195972,BBB11,"CWN,SC",R10AWEF28,R10AWDU26,BBB11_17,11366.195972,2022-03-22 05:31:11,2022-03-22 07:31:11,7066.21,2022-03-22 05:31:11,2022-03-22 07:31:11
613,613,AUK012DN2003A,AMS078EN1001A,1252.474292,BBB12,MC,R04UKA503,R11MSLJ08,BBB12_1,1168.474292,2022-03-15 03:33:28,2022-03-15 04:57:28,7065.33,2022-03-15 03:33:28,2022-03-15 04:57:28
614,614,AAW016D53019A,ASS153XT3001A,120.0,BBB13,"CWN,SC",,R10SSC132,BBB13_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.3,2022-03-14 08:05:00,2022-03-14 10:05:00
615,615,ASS153XT3001A,AMS096EC1002A,7000.691441,BBB13,"CWN,SC",R10SSC212,R11MSP406,BBB13_7,6880.691441,2022-03-19 02:45:41,2022-03-19 04:45:41,,2022-03-19 02:45:41,2022-03-19 04:45:41
616,616,AMS096EC1002A,AAW048TP1008B,8373.798484,BBB13,"CWN,SC",R11MSP406,R11AWAD23,BBB13_8,8253.798484,2022-03-20 01:38:47,2022-03-20 03:38:47,7066.56,2022-03-20 01:38:47,2022-03-20 03:38:47
617,617,ADY084XU3002A,AAW048TP1008B,120.0,BBB14,"CWN,SC",,R11AWAF25,BBB14_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7066.56,2022-03-14 08:05:00,2022-03-14 10:05:00
618,618,AAW048TP1008B,AAW016D53004A,1623.591506,BBB14,"CWN,SC",R11AWAF25,R10AWCJ13,BBB14_2,1503.591506,2022-03-15 09:08:35,2022-03-15 11:08:35,7066.1900000000005,2022-03-15 09:08:35,2022-03-15 11:08:35
619,619,AAW016D53004A,AAW048TP1041B,3613.214762,BBB14,"CWN,SC",R10AWDY24,R10AWEE38,BBB14_4,3493.214762,2022-03-16 18:18:12,2022-03-16 20:18:12,7067.01,2022-03-16 18:18:12,2022-03-16 20:18:12
620,620,AAW048TP1041B,ASS153XT3001A,4453.409549,BBB14,"CWN,SC",R10AWEE38,R10SSC326,BBB14_5,4333.409549,2022-03-17 08:18:24,2022-03-17 10:18:24,7065.35,2022-03-17 08:18:24,2022-03-17 10:18:24
621,621,ASS153XT3001A,AAW016D53004A,5544.459697,BBB14,"CWN,SC",R10SSC326,R10AWDU01,BBB14_6,5424.459697,2022-03-18 02:29:27,2022-03-18 04:29:27,7066.21,2022-03-18 02:29:27,2022-03-18 04:29:27
622,622,AAW016D53004A,ACD084CC2002A,7421.535335,BBB14,"CWN,SC",R10AWCB26,R11CDAA03,BBB14_8,7301.535335,2022-03-19 09:46:32,2022-03-19 11:46:32,7082.08,2022-03-19 09:46:32,2022-03-19 11:46:32
623,623,AUK012DN2003A,AMS096EC1002A,410.0,BBB15,"CWN,SC",R04UKA501,R11MSP101,BBB15_1,290.0,2022-03-14 12:55:00,2022-03-14 14:55:00,7065.72,2022-03-14 12:55:00,2022-03-14 14:55:00
624,624,AMS096EC1002A,AAW048TP1041B,1783.107043,BBB15,"CWN,SC",R11MSP101,R10AWEF04,BBB15_2,1663.107043,2022-03-15 11:48:06,2022-03-15 13:48:06,7067.01,2022-03-15 11:48:06,2022-03-15 13:48:06
625,625,ABU200KX1001D,AAW048TP1008B,184.0,BBB16,"CWN,SC",,R11AWA821,BBB16_2,64.0,2022-03-14 09:09:00,2022-03-14 11:09:00,7065.99,2022-03-14 09:09:00,2022-03-14 11:09:00
