ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB615,UTC1000S,RUNNING,P53ABAV03,2200,178NNAB002,AAB178NN2001A,22-01-12 16:07,22-01-11 23:41,WINBOND,VFBGA178JEU,2181,
BB616,UTC1000S,RUNNING,R02MSF511,2200,048TWMS063,AMS048TW1053A,22-01-12 09:53,22-01-12 03:00,MTI,TSOP1-48AM,2160,01/12/2022 MP
BB617,UTC1000S,RUNNING,P53ABAV02,2200,178NNAB002,AAB178NN2001A,22-01-12 16:55,22-01-12 00:38,WINBOND,VFBGA178JEU,2160,01/13/2022 MP
BB618,UTC1000S,RUNNING,R02MSAB02,2200,078EPMS004,AMS078EP1001A,22-01-13 02:26,22-01-11 02:21,MTI,FBGA-78UEP,5960,01/14/2022 MP
BB619,UTC1000S,RUNNING,R02AWG902,2200,052XYAW004,AAW052XY1002A,22-01-13 07:13,22-01-12 02:07,MXIC,STBGA52D4L,5698,01/15/2022 MP
BB620,UTC1000S,RUNNING,R02AWGW04,2200,048TPAW054,AAW048TP1026E,22-01-11 22:41,22-01-11 17:00,MXIC,TSOP1-48/48M,2160,01/16/2022 MP
BB621,UTC1000S,IDLE,,,,ABU096EA1001A,,22-01-12 07:54,,,,01/17/2022 MP
BB622,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-12 05:16,,,,01/18/2022 MP
BB623,UTC1000S,RUNNING,R02ABFH08,2200,096ELAB016,AAB096EL1003A,22-01-12 13:24,22-01-11 14:04,WINBOND,FBGA96UEL(2),5668,01/19/2022 MP
BB624,UTC1000S,RUNNING,R02CDAQ05,2200,096CACD004,ACD096CA4001B,22-01-12 13:35,22-01-11 14:38,ETRON,FBGA-96UH6B,5594,01/20/2022 MP
BB701,UTC2000,RUNNING,R02CDAD02,2200,066TNCD042,ACD066TN1013A,22-01-12 12:57,22-01-11 19:56,ETRON,TSOP2-66ME,2880,01/29/2022 MP
BB702,UTC2000,RUNNING,R02AWBK13,2200,048TPAW086,AAW048TP1041B,22-01-12 04:57,22-01-11 18:25,MXIC,TSOP1-48/M2,720,01/30/2022 MP
BB703,UTC2000,RUNNING,R02ABLM02,2200,066TNAB035,AAB066TN1004A,22-01-12 12:48,22-01-12 01:47,WINBOND,TSOP2-66ME,2880,01/31/2022 MP
BB704,UTC2000,RUNNING,R02YZA210,2200,096EFYZ004,AYZ096EF2003A,22-01-12 17:15,22-01-12 00:07,ZJP,FBGA-96UEF,2500,
BB705,UTC2000,RUNNING,R02AWBN08,2200,048TPAW086,AAW048TP1041B,22-01-12 09:15,22-01-11 22:43,MXIC,TSOP1-48/M2,720,
BB706,UTC2000,RUNNING,R02ABLH01,2200,054NRAB004,AAB054NR2001A,22-01-12 12:37,22-01-11 10:49,WINBOND,VFBGA54B4U,7877,
BB707,UTC2000,RUNNING,R02AWBN12,2200,048TPAW086,AAW048TP1041B,22-01-12 16:32,22-01-12 06:00,MXIC,TSOP1-48/M2,720,
BB708,UTC2000,RUNNING,R02SSA107,2200,153XTSS011,ASS153XT3001A,22-01-12 12:04,22-01-11 22:04,HOSIN,SSBGA153JAU,1780,
BB709,UTC2000,RUNNING,R02ABN406,2200,096ELAB016,AAB096EL1003A,22-01-13 00:22,22-01-11 22:28,WINBOND,FBGA96UEL(2),6000,
BB710,UTC2000,RUNNING,R02BUAG01,2200,084UCBU004,ABU084CC2001C,22-01-13 02:37,22-01-12 03:49,ICSI,FBGA-84UC(2),5535,
BB711,UTC2000,RUNNING,R02ABN202,2200,054NRAB004,AAB054NR2001A,22-01-12 19:14,22-01-11 17:28,WINBOND,VFBGA54B4U,7868,
BB712,UTC2000,RUNNING,R02ABGI05,2200,054TNAB036,AAB054TN1005A,22-01-12 16:09,22-01-12 06:32,WINBOND,TSOP2-54ME,2880,
BB713,UTC2000,RUNNING,P53MSJF08,2200,078ENMS007,AMS078EN1002A,22-01-12 16:02,22-01-12 02:01,MTI,FBGA-78UEN,3520,
BB714,UTC2000,RUNNING,R02ABLM03,2200,066TNAB035,AAB066TN1004A,22-01-12 15:51,22-01-12 04:50,WINBOND,TSOP2-66ME,2880,
BB715,UTC2000,RUNNING,R02SSA106,2200,153XTSS011,ASS153XT3001A,22-01-12 07:56,22-01-11 17:09,HOSIN,SSBGA153JAU,1880,01/12/2022 MP
BB716,UTC2000,SETUP,,,,AAB024XJ6006A,22-01-12 09:03,22-01-12 07:39,,,,01/13/2022 MP
BB717,UTC2000,RUNNING,R02AWBK23,2200,048TPAW086,AAW048TP1041B,22-01-12 11:28,22-01-12 00:56,MXIC,TSOP1-48/M2,720,01/14/2022 MP
BB718,UTC2000,RUNNING,R02MSA704,2200,078EPMS004,AMS078EP1001A,22-01-12 15:52,22-01-11 21:23,MTI,FBGA-78UEP,4557,01/15/2022 MP
BB719,UTC2000,WAIT-REPAIR,R02YZA202,2200,096EFYZ004,AYZ096EF2003A,22-01-12 22:00:12,22-01-12 07:10,ZJP,FBGA-96UEF,2440,01/16/2022 MP
BB720,UTC2000,RUNNING,R02AWBK33,2200,048TPAW086,AAW048TP1041B,22-01-12 17:00,22-01-12 06:28,MXIC,TSOP1-48/M2,720,01/17/2022 MP
BB721,UTC2000,RUNNING,R02MSAK01,2200,078EPMS004,AMS078EP1001A,22-01-12 14:26,22-01-11 15:05,MTI,FBGA-78UEP,5760,01/18/2022 MP
BB722,UTC2000,IDLE,,,,AMS078EP1001A,,22-01-12 04:43,,,,01/19/2022 MP
BB723,UTC2000,RUNNING,R02AWE105,3200,024XJAW020,AAW024XJ6010B,22-01-12 10:19,22-01-12 04:30,MXIC,STBGA24A4L,1722,01/20/2022 MP
BB724,UTC2000,RUNNING,R02ABGI12,2200,054TNAB036,AAB054TN1005A,22-01-12 07:23,22-01-11 21:46,WINBOND,TSOP2-54ME,2880,01/21/2022 MP
BB725,UTC2000,RUNNING,R02AWFA01,2200,064MRAW030,AAW064MR1008B,22-01-12 09:04,22-01-11 21:32,MXIC,MBGA64J4U,4000,01/20/2022 MP
BB726,UTC2000,WAIT-REPAIR,,,,AAB096EL1003A,,22-01-11 20:54,,,,01/23/2022 MP
BB727,UTC2000,RUNNING,R02SSA105,2200,153XTSS011,ASS153XT3001A,22-01-12 08:00,22-01-11 17:18,HOSIN,SSBGA153JAU,1870,01/24/2022 MP
BB728,UTC2000,RUNNING,R02ABGL11,2200,054TNAB036,AAB054TN1005A,22-01-12 14:58,22-01-12 05:21,WINBOND,TSOP2-54ME,2880,01/25/2022 MP
BB729,UTC2000,RUNNING,R02SSA103,2200,153XTSS011,ASS153XT3001A,22-01-12 07:53,22-01-11 17:16,HOSIN,SSBGA153JAU,1860,01/26/2022 MP
BB730,UTC2000,RUNNING,R02ABGI15,2200,054TNAB036,AAB054TN1005A,22-01-12 11:48,22-01-12 04:39,WINBOND,TSOP2-54ME,2132,01/27/2022 MP
BB731,UTC2000,RUNNING,R02YZA211,2200,096EFYZ004,AYZ096EF2003A,22-01-12 14:34,22-01-11 21:26,ZJP,FBGA-96UEF,2500,01/28/2022 MP
BB732,UTC2000,ENG,,,,AAW024XJ6001B,22-01-06 08:39,22-01-06 08:39,,,,01/29/2022 MP
BB733,UTC2000,RUNNING,R02AWBP05,2200,048TPAW103,AAW048TP1008B,22-01-12 16:41,22-01-12 05:14,MXIC,TSOP1-48/M2,720,01/30/2022 MP
BB734,UTC2000,RUNNING,R02AWBL32,2200,048TPAW103,AAW048TP1008B,22-01-12 09:08,22-01-11 21:41,MXIC,TSOP1-48/M2,720,01/31/2022 MP
BB735,UTC2000,RUNNING,R02AWBP12,2200,048TPAW103,AAW048TP1008B,22-01-12 16:43,22-01-12 05:16,MXIC,TSOP1-48/M2,720,
BB736,UTC2000,RUNNING,R02AWBL17,2200,048TPAW103,AAW048TP1008B,22-01-12 08:50,22-01-11 21:23,MXIC,TSOP1-48/M2,720,
BB737,UTC2000,RUNNING,R02YZA218,2200,096EFYZ004,AYZ096EF2003A,22-01-13 00:48,22-01-12 07:57,ZJP,FBGA-96UEF,2459,
BB738,UTC2000,RUNNING,R02ABN403,2200,096ELAB016,AAB096EL1003A,22-01-13 02:53,22-01-12 01:22,WINBOND,FBGA96UEL(2),5912,
BB745,UTC2000,RUNNING,R02YZA209,2200,096EFYZ004,AYZ096EF2003A,22-01-12 21:40,22-01-12 04:33,ZJP,FBGA-96UEF,2500,
BB746,UTC2000,RUNNING,R02AWBL21,2200,048TPAW103,AAW048TP1008B,22-01-12 09:40,22-01-11 22:13,MXIC,TSOP1-48/M2,720,
